dataset,generator,variant,verifier_variant,method,vehicles,distance,feasible,violations,runtime,typed_feedback,action_rules,route_elimination_called,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C201,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,6,1169.105295,True,0,6.937081,True,False,False,3,591.56,3,97.630890,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,6,1210.004489,True,0,10.925836,False,False,False,3,591.56,3,104.544677,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,916.335131,True,0,2.815544,True,True,True,3,591.56,1,54.901469,False,SINTEF VRPTW 100 customers
C202,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,6,1210.004489,True,0,10.907533,True,False,False,3,591.56,3,104.544677,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1134.060168,True,0,6.903486,False,False,False,3,591.17,2,91.833173,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,1182.427083,True,0,4.762249,True,True,True,3,591.17,1,100.014731,False,SINTEF VRPTW 100 customers
C203,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1134.060168,True,0,6.896204,True,False,False,3,591.17,2,91.833173,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1117.280564,True,0,17.841945,False,False,False,3,590.60,2,89.177204,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,1048.994556,True,0,6.089465,True,True,True,3,590.60,1,77.615062,False,SINTEF VRPTW 100 customers
C204,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1117.280564,True,0,17.864281,True,False,False,3,590.60,2,89.177204,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,6,1264.533808,True,0,8.579087,False,False,False,3,588.88,3,114.735397,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,846.605023,True,0,3.607847,True,True,True,3,588.88,1,43.765287,False,SINTEF VRPTW 100 customers
C205,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,6,1264.533808,True,0,8.542534,True,False,False,3,588.88,3,114.735397,False,SINTEF VRPTW 100 customers
C206,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1025.010994,True,0,4.505534,False,False,False,3,588.49,2,74.176451,False,SINTEF VRPTW 100 customers
C206,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,984.344722,True,0,1.922636,True,True,True,3,588.49,1,67.266176,False,SINTEF VRPTW 100 customers
C206,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1025.010994,True,0,4.505653,True,False,False,3,588.49,2,74.176451,False,SINTEF VRPTW 100 customers
C207,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1046.098519,True,0,8.911367,False,False,False,3,588.29,2,77.820211,False,SINTEF VRPTW 100 customers
C207,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,4,927.261921,True,0,4.204483,True,True,True,3,588.29,1,57.619868,False,SINTEF VRPTW 100 customers
C207,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1046.098519,True,0,8.969675,True,False,False,3,588.29,2,77.820211,False,SINTEF VRPTW 100 customers
C208,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,5,1011.468802,True,0,7.137328,False,False,False,3,588.32,2,71.924939,False,SINTEF VRPTW 100 customers
C208,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,3,974.179209,True,0,0.740311,True,True,True,3,588.32,0,65.586621,True,SINTEF VRPTW 100 customers
C208,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,5,1011.468802,True,0,7.085350,True,False,False,3,588.32,2,71.924939,False,SINTEF VRPTW 100 customers
R101,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,25,2107.697840,True,0,10.772570,False,False,False,19,1650.80,6,27.677359,False,SINTEF VRPTW 100 customers
R101,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,22,1949.386270,True,0,6.508455,True,True,True,19,1650.80,3,18.087368,False,SINTEF VRPTW 100 customers
R101,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,25,2107.697840,True,0,10.799718,True,False,False,19,1650.80,6,27.677359,False,SINTEF VRPTW 100 customers
R102,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,21,1819.120162,True,0,15.443336,False,False,False,17,1486.12,4,22.407354,False,SINTEF VRPTW 100 customers
R102,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,19,1713.129531,True,0,11.204370,True,True,True,17,1486.12,2,15.275316,False,SINTEF VRPTW 100 customers
R102,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,21,1819.120162,True,0,15.442816,True,False,False,17,1486.12,4,22.407354,False,SINTEF VRPTW 100 customers
R103,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,17,1567.026632,True,0,15.490923,False,False,False,13,1292.68,4,21.223089,False,SINTEF VRPTW 100 customers
R103,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,15,1609.009570,True,0,5.538555,True,True,True,13,1292.68,2,24.470833,False,SINTEF VRPTW 100 customers
R103,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,17,1567.026632,True,0,15.466074,True,False,False,13,1292.68,4,21.223089,False,SINTEF VRPTW 100 customers
R104,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,13,1329.105109,True,0,8.085466,False,False,False,9,1007.31,4,31.945986,False,SINTEF VRPTW 100 customers
R104,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,11,1223.784051,True,0,6.758934,True,True,True,9,1007.31,2,21.490311,False,SINTEF VRPTW 100 customers
R104,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,13,1329.105109,True,0,8.055410,True,False,False,9,1007.31,4,31.945986,False,SINTEF VRPTW 100 customers
R105,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,19,1740.270297,True,0,13.305853,False,False,False,14,1377.11,5,26.371190,False,SINTEF VRPTW 100 customers
R105,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,17,1630.795415,True,0,8.559688,True,True,True,14,1377.11,3,18.421580,False,SINTEF VRPTW 100 customers
R105,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,19,1740.270297,True,0,13.181977,True,False,False,14,1377.11,5,26.371190,False,SINTEF VRPTW 100 customers
R106,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,16,1727.566295,True,0,11.514608,False,False,False,12,1252.03,4,37.981222,False,SINTEF VRPTW 100 customers
R106,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,16,1742.064430,True,0,5.230944,True,True,True,12,1252.03,4,39.139192,False,SINTEF VRPTW 100 customers
R106,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,16,1727.566295,True,0,11.448245,True,False,False,12,1252.03,4,37.981222,False,SINTEF VRPTW 100 customers
