dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool
lr202,greedy_pair_insertion+ordinary_alns,5,1629.192599,5,1629.192599,True,0,24.210309,50,42,42
lr202,greedy_pair_insertion+pair_alns,5,1629.192599,4,1368.087904,True,0,24.406478,50,42,42
lr203,greedy_pair_insertion,4,1343.344368,4,1343.344368,True,0,5.502951,51,,
lr203,greedy_pair_insertion+ordinary_alns,4,1343.344368,4,1343.344368,True,0,27.262132,51,42,42
lr203,greedy_pair_insertion+pair_alns,4,1343.344368,3,1419.188887,True,0,26.802493,51,42,42
lr204,greedy_pair_insertion,4,1338.402688,3,1327.284233,True,0,10.422613,50,,
lr204,greedy_pair_insertion+ordinary_alns,3,1327.284233,3,1327.284233,True,0,32.060102,50,42,42
lr204,greedy_pair_insertion+pair_alns,3,1327.284233,3,1200.405275,True,0,32.323736,50,42,42
lr205,greedy_pair_insertion,4,1811.127458,4,1811.127458,True,0,6.633561,51,,
lr205,greedy_pair_insertion+ordinary_alns,4,1811.127458,4,1811.127458,True,0,27.157304,51,42,42
lr205,greedy_pair_insertion+pair_alns,4,1811.127458,4,1453.585313,True,0,27.762049,51,42,42
lr206,greedy_pair_insertion,4,1453.839351,4,1453.839351,True,0,4.470118,50,,
lr206,greedy_pair_insertion+ordinary_alns,4,1453.839351,4,1453.839351,True,0,25.567178,50,42,42
lr206,greedy_pair_insertion+pair_alns,4,1453.839351,3,1086.271191,True,0,25.238546,50,42,42
lr207,greedy_pair_insertion,3,1414.197547,3,1414.197547,True,0,8.865156,51,,
lr207,greedy_pair_insertion+ordinary_alns,3,1414.197547,3,1414.197547,True,0,29.807528,51,42,42
lr207,greedy_pair_insertion+pair_alns,3,1414.197547,3,1173.780234,True,0,32.327580,51,42,42
lr208,greedy_pair_insertion,3,1123.196729,3,1123.196729,True,0,10.662667,50,,
lr208,greedy_pair_insertion+ordinary_alns,3,1123.196729,3,1123.196729,True,0,34.219039,50,42,42
lr208,greedy_pair_insertion+pair_alns,3,1123.196729,3,1000.485664,True,0,36.031962,50,42,42
lr209,greedy_pair_insertion,4,1397.601968,4,1397.601968,True,0,7.698842,51,,
lr209,greedy_pair_insertion+ordinary_alns,4,1397.601968,4,1397.601968,True,0,29.853417,51,42,42
lr209,greedy_pair_insertion+pair_alns,4,1397.601968,4,1142.528361,True,0,30.454644,51,42,42
lr210,greedy_pair_insertion,4,1578.501825,4,1578.501825,True,0,5.414582,51,,
lr210,greedy_pair_insertion+ordinary_alns,4,1578.501825,4,1578.501825,True,0,26.379328,51,42,42
lr210,greedy_pair_insertion+pair_alns,4,1578.501825,4,1280.502275,True,0,27.018915,51,42,42
lr211,greedy_pair_insertion,3,1412.286683,3,1412.286683,True,0,9.254373,50,,
lr211,greedy_pair_insertion+ordinary_alns,3,1412.286683,3,1412.286683,True,0,30.948544,50,42,42
lr211,greedy_pair_insertion+pair_alns,3,1412.286683,3,1117.641513,True,0,30.742535,50,42,42
lrc101,greedy_pair_insertion,19,1988.293648,17,1902.834021,True,0,0.666252,53,,
lrc101,greedy_pair_insertion+ordinary_alns,17,1902.834021,17,1902.081089,True,0,11.193872,53,42,42
lrc101,greedy_pair_insertion+pair_alns,17,1902.834021,14,1708.801332,True,0,16.889734,53,42,42
lrc102,greedy_pair_insertion,17,1919.022139,15,1757.624760,True,0,0.823211,53,,
lrc102,greedy_pair_insertion+ordinary_alns,15,1757.624760,15,1757.624760,True,0,11.762505,53,42,42
lrc102,greedy_pair_insertion+pair_alns,15,1757.624760,14,1646.132943,True,0,20.631784,53,42,42
lrc103,greedy_pair_insertion,15,1641.425276,13,1539.918695,True,0,1.000191,53,,
lrc103,greedy_pair_insertion+ordinary_alns,13,1539.918695,13,1539.918695,True,0,13.125473,53,42,42
lrc103,greedy_pair_insertion+pair_alns,13,1539.918695,12,1347.142133,True,0,21.345581,53,42,42
lrc104,greedy_pair_insertion,13,1470.892644,12,1407.606029,True,0,1.557678,54,,
lrc104,greedy_pair_insertion+ordinary_alns,12,1407.606029,12,1407.606029,True,0,15.460686,54,42,42
lrc104,greedy_pair_insertion+pair_alns,12,1407.606029,10,1224.572773,True,0,21.741470,54,42,42
lrc105,greedy_pair_insertion,20,2240.901212,17,1990.088486,True,0,0.881148,54,,
lrc105,greedy_pair_insertion+ordinary_alns,17,1990.088486,17,1990.088486,True,0,12.419203,54,42,42
lrc105,greedy_pair_insertion+pair_alns,17,1990.088486,14,1716.551437,True,0,21.043969,54,42,42
lrc106,greedy_pair_insertion,18,1990.937844,16,1876.730097,True,0,0.937281,53,,
lrc106,greedy_pair_insertion+ordinary_alns,16,1876.730097,16,1876.730097,True,0,12.219710,53,42,42
lrc106,greedy_pair_insertion+pair_alns,16,1876.730097,13,1541.242563,True,0,21.231843,53,42,42
lrc107,greedy_pair_insertion,14,1719.127456,13,1652.400885,True,0,1.068685,53,,
lrc107,greedy_pair_insertion+ordinary_alns,13,1652.400885,13,1652.400885,True,0,13.136542,53,42,42
lrc107,greedy_pair_insertion+pair_alns,13,1652.400885,11,1313.727517,True,0,21.341450,53,42,42
lrc108,greedy_pair_insertion,13,1424.292188,13,1424.292188,True,0,1.325433,52,,
lrc108,greedy_pair_insertion+ordinary_alns,13,1424.292188,13,1409.629707,True,0,14.228881,52,42,42
lrc108,greedy_pair_insertion+pair_alns,13,1424.292188,11,1285.310955,True,0,21.723960,52,42,42
lrc201,greedy_pair_insertion,6,1785.039154,5,1741.711266,True,0,2.950339,51,,
lrc201,greedy_pair_insertion+ordinary_alns,5,1741.711266,5,1710.232769,True,0,23.507875,51,42,42
lrc201,greedy_pair_insertion+pair_alns,5,1741.711266,5,1577.825672,True,0,23.599134,51,42,42
lrc202,greedy_pair_insertion,4,1818.010085,4,1818.010085,True,0,4.038399,51,,
lrc202,greedy_pair_insertion+ordinary_alns,4,1818.010085,4,1818.010085,True,0,24.435005,51,42,42
lrc202,greedy_pair_insertion+pair_alns,4,1818.010085,4,1530.326503,True,0,25.275127,51,42,42
lrc203,greedy_pair_insertion,5,1794.097945,4,1611.501656,True,0,4.641700,51,,
lrc203,greedy_pair_insertion+ordinary_alns,4,1611.501656,4,1611.501656,True,0,25.410449,51,42,42
lrc203,greedy_pair_insertion+pair_alns,4,1611.501656,4,1580.865075,True,0,27.333832,51,42,42
lrc204,greedy_pair_insertion,4,1189.328948,3,1194.323417,True,0,6.546289,51,,
lrc204,greedy_pair_insertion+ordinary_alns,3,1194.323417,3,1194.323417,True,0,27.344599,51,42,42
lrc204,greedy_pair_insertion+pair_alns,3,1194.323417,3,944.544458,True,0,27.619364,51,42,42
lrc205,greedy_pair_insertion,6,1737.969807,5,1557.050372,True,0,2.874235,51,,
lrc205,greedy_pair_insertion+ordinary_alns,5,1557.050372,5,1557.050372,True,0,23.912538,51,42,42
lrc205,greedy_pair_insertion+pair_alns,5,1557.050372,4,1726.832571,True,0,23.452612,51,42,42
lrc206,greedy_pair_insertion,5,1863.774934,4,1768.171517,True,0,4.537589,51,,
lrc206,greedy_pair_insertion+ordinary_alns,4,1768.171517,4,1768.171517,True,0,24.932891,51,42,42
lrc206,greedy_pair_insertion+pair_alns,4,1768.171517,4,1649.802664,True,0,25.153272,51,42,42
lrc207,greedy_pair_insertion,4,1681.475968,4,1681.475968,True,0,5.972196,51,,
lrc207,greedy_pair_insertion+ordinary_alns,4,1681.475968,4,1681.475968,True,0,26.758163,51,42,42
lrc207,greedy_pair_insertion+pair_alns,4,1681.475968,4,1478.969009,True,0,27.087640,51,42,42
lrc208,greedy_pair_insertion,4,1328.419380,4,1328.419380,True,0,5.865493,51,,
lrc208,greedy_pair_insertion+ordinary_alns,4,1328.419380,4,1328.419380,True,0,26.838684,51,42,42
lrc208,greedy_pair_insertion+pair_alns,4,1328.419380,3,1308.508176,True,0,28.287013,51,42,42
