dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C104,greedy_insertion,fast_repair,10,1221.235856,True,0,0.447355,10,824.78,0,48.068073,True,SINTEF VRPTW 100 customers
C104,greedy_insertion,fast_repair_merge,10,1221.235856,True,0,0.447355,10,824.78,0,48.068073,True,SINTEF VRPTW 100 customers
C104,greedy_insertion,fast_repair_merge_elim,10,1221.235856,True,0,0.447355,10,824.78,0,48.068073,True,SINTEF VRPTW 100 customers
C104,greedy_insertion,full_ftv,10,1135.738509,True,0,0.447355,10,824.78,0,37.701994,True,SINTEF VRPTW 100 customers
C104,nearest_neighbor,fast_only,15,1702.625365,True,0,0.011945,10,824.78,5,106.433881,False,SINTEF VRPTW 100 customers
C104,nearest_neighbor,fast_repair,15,1702.625365,True,0,0.011945,10,824.78,5,106.433881,False,SINTEF VRPTW 100 customers
C104,nearest_neighbor,fast_repair_merge,12,1677.005960,True,0,0.011945,10,824.78,2,103.327670,False,SINTEF VRPTW 100 customers
C104,nearest_neighbor,fast_repair_merge_elim,10,1495.246124,True,0,0.011945,10,824.78,0,81.290299,True,SINTEF VRPTW 100 customers
C104,nearest_neighbor,full_ftv,10,1439.768364,True,0,0.011945,10,824.78,0,74.563928,True,SINTEF VRPTW 100 customers
C104,regret_insertion,fast_only,11,2756.547177,True,0,0.446574,10,824.78,1,234.216055,False,SINTEF VRPTW 100 customers
C104,regret_insertion,fast_repair,11,2756.547177,True,0,0.446574,10,824.78,1,234.216055,False,SINTEF VRPTW 100 customers
C104,regret_insertion,fast_repair_merge,11,2756.547177,True,0,0.446574,10,824.78,1,234.216055,False,SINTEF VRPTW 100 customers
C104,regret_insertion,fast_repair_merge_elim,11,2756.547177,True,0,0.446574,10,824.78,1,234.216055,False,SINTEF VRPTW 100 customers
C104,regret_insertion,full_ftv,11,1989.054805,True,0,0.446574,10,824.78,1,141.161862,False,SINTEF VRPTW 100 customers
C105,greedy_insertion,fast_only,11,1227.598589,True,0,0.309114,10,828.94,1,48.092575,False,SINTEF VRPTW 100 customers
C105,greedy_insertion,fast_repair,11,1227.598589,True,0,0.309114,10,828.94,1,48.092575,False,SINTEF VRPTW 100 customers
C105,greedy_insertion,fast_repair_merge,11,1227.598589,True,0,0.309114,10,828.94,1,48.092575,False,SINTEF VRPTW 100 customers
C105,greedy_insertion,fast_repair_merge_elim,11,1227.598589,True,0,0.309114,10,828.94,1,48.092575,False,SINTEF VRPTW 100 customers
C105,greedy_insertion,full_ftv,11,1078.190093,True,0,0.309114,10,828.94,1,30.068532,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,fast_only,20,1888.387776,True,0,0.014299,10,828.94,10,127.807534,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,fast_repair,20,1888.387776,True,0,0.014299,10,828.94,10,127.807534,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,fast_repair_merge,16,1920.785449,True,0,0.014299,10,828.94,6,131.715860,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,fast_repair_merge_elim,11,1173.568751,True,0,0.014299,10,828.94,1,41.574632,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,full_ftv,11,1044.223197,True,0,0.014299,10,828.94,1,25.970902,False,SINTEF VRPTW 100 customers
C105,regret_insertion,fast_only,12,1546.748838,True,0,0.310148,10,828.94,2,86.593582,False,SINTEF VRPTW 100 customers
C105,regret_insertion,fast_repair,12,1546.748838,True,0,0.310148,10,828.94,2,86.593582,False,SINTEF VRPTW 100 customers
C105,regret_insertion,fast_repair_merge,12,1546.748838,True,0,0.310148,10,828.94,2,86.593582,False,SINTEF VRPTW 100 customers
C105,regret_insertion,fast_repair_merge_elim,12,1546.748838,True,0,0.310148,10,828.94,2,86.593582,False,SINTEF VRPTW 100 customers
C105,regret_insertion,full_ftv,12,1334.569573,True,0,0.310148,10,828.94,2,60.997126,False,SINTEF VRPTW 100 customers
C106,greedy_insertion,fast_only,11,1313.949239,True,0,0.316017,10,828.94,1,58.509571,False,SINTEF VRPTW 100 customers
C106,greedy_insertion,fast_repair,11,1313.949239,True,0,0.316017,10,828.94,1,58.509571,False,SINTEF VRPTW 100 customers
C106,greedy_insertion,fast_repair_merge,11,1313.949239,True,0,0.316017,10,828.94,1,58.509571,False,SINTEF VRPTW 100 customers
C106,greedy_insertion,fast_repair_merge_elim,11,1313.949239,True,0,0.316017,10,828.94,1,58.509571,False,SINTEF VRPTW 100 customers
C106,greedy_insertion,full_ftv,11,1118.253341,True,0,0.316017,10,828.94,1,34.901602,False,SINTEF VRPTW 100 customers
C106,nearest_neighbor,fast_only,19,1913.089468,True,0,0.013354,10,828.94,9,130.787448,False,SINTEF VRPTW 100 customers
C106,nearest_neighbor,fast_repair,19,1913.089468,True,0,0.013354,10,828.94,9,130.787448,False,SINTEF VRPTW 100 customers
C106,nearest_neighbor,fast_repair_merge,16,1908.670724,True,0,0.013354,10,828.94,6,130.254388,False,SINTEF VRPTW 100 customers
C106,nearest_neighbor,fast_repair_merge_elim,11,1325.976639,True,0,0.013354,10,828.94,1,59.960508,False,SINTEF VRPTW 100 customers
C106,nearest_neighbor,full_ftv,11,1259.598777,True,0,0.013354,10,828.94,1,51.952949,False,SINTEF VRPTW 100 customers
C106,regret_insertion,fast_only,11,1593.740657,True,0,0.316327,10,828.94,1,92.262487,False,SINTEF VRPTW 100 customers
C106,regret_insertion,fast_repair,11,1593.740657,True,0,0.316327,10,828.94,1,92.262487,False,SINTEF VRPTW 100 customers
C106,regret_insertion,fast_repair_merge,11,1593.740657,True,0,0.316327,10,828.94,1,92.262487,False,SINTEF VRPTW 100 customers
C106,regret_insertion,fast_repair_merge_elim,11,1593.740657,True,0,0.316327,10,828.94,1,92.262487,False,SINTEF VRPTW 100 customers
C106,regret_insertion,full_ftv,11,1370.171116,True,0,0.316327,10,828.94,1,65.291953,False,SINTEF VRPTW 100 customers
C107,greedy_insertion,fast_only,11,1247.360024,True,0,0.316522,10,828.94,1,50.476515,False,SINTEF VRPTW 100 customers
C107,greedy_insertion,fast_repair,11,1247.360024,True,0,0.316522,10,828.94,1,50.476515,False,SINTEF VRPTW 100 customers
C107,greedy_insertion,fast_repair_merge,11,1247.360024,True,0,0.316522,10,828.94,1,50.476515,False,SINTEF VRPTW 100 customers
C107,greedy_insertion,fast_repair_merge_elim,11,1247.360024,True,0,0.316522,10,828.94,1,50.476515,False,SINTEF VRPTW 100 customers
C107,greedy_insertion,full_ftv,11,1012.881380,True,0,0.316522,10,828.94,1,22.189951,False,SINTEF VRPTW 100 customers
C107,nearest_neighbor,fast_only,18,2131.536781,True,0,0.014384,10,828.94,8,157.140056,False,SINTEF VRPTW 100 customers
C107,nearest_neighbor,fast_repair,18,2131.536781,True,0,0.014384,10,828.94,8,157.140056,False,SINTEF VRPTW 100 customers
C107,nearest_neighbor,fast_repair_merge,15,2100.876660,True,0,0.014384,10,828.94,5,153.441342,False,SINTEF VRPTW 100 customers
C107,nearest_neighbor,fast_repair_merge_elim,12,1839.915144,True,0,0.014384,10,828.94,2,121.959990,False,SINTEF VRPTW 100 customers
