dataset,method,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime
R109,nearest_neighbor+basic_alns,14,1527.309145,13,1360.678717,True,0,15.390908
R109,regret_insertion+basic_alns,20,2970.240423,14,1340.612093,True,0,20.166931
R110,greedy_insertion+basic_alns,13,1494.187489,12,1225.979998,True,0,21.360559
R110,nearest_neighbor+basic_alns,14,1507.643422,13,1263.253921,True,0,15.540921
R110,regret_insertion+basic_alns,19,2966.240273,13,1235.561545,True,0,20.126369
R111,greedy_insertion+basic_alns,13,1427.798623,11,1244.011673,True,0,21.643462
R111,nearest_neighbor+basic_alns,13,1425.517968,11,1148.066492,True,0,15.386320
R111,regret_insertion+basic_alns,20,3274.429510,12,1138.054729,True,0,19.960369
R112,greedy_insertion+basic_alns,12,1428.443885,11,1090.163402,True,0,21.431166
R112,nearest_neighbor+basic_alns,12,1254.320588,11,1095.149460,True,0,15.605233
R112,regret_insertion+basic_alns,19,3143.356093,10,1091.221019,True,0,19.776711
R201,greedy_insertion+basic_alns,4,1626.496773,4,1437.453922,True,0,26.865325
R201,nearest_neighbor+basic_alns,5,1843.897482,5,1415.280953,True,0,15.723903
R201,regret_insertion+basic_alns,6,2926.125190,4,1500.032857,True,0,23.967003
R202,greedy_insertion+basic_alns,4,1607.225656,4,1300.201569,True,0,27.679837
R202,nearest_neighbor+basic_alns,4,1483.149282,4,1166.003671,True,0,15.567476
R202,regret_insertion+basic_alns,5,2522.049833,4,1228.604297,True,0,24.343936
R203,greedy_insertion+basic_alns,3,1499.050937,3,1209.975642,True,0,28.588743
R203,nearest_neighbor+basic_alns,3,1637.573869,3,1199.982470,True,0,15.414592
R203,regret_insertion+basic_alns,4,2284.297189,3,1210.113384,True,0,24.262638
R204,greedy_insertion+basic_alns,3,1352.183948,3,932.271960,True,0,30.112832
R204,nearest_neighbor+basic_alns,3,1178.593328,3,873.301793,True,0,15.921679
R204,regret_insertion+basic_alns,3,1603.849382,3,1015.563313,True,0,25.742406
R205,greedy_insertion+basic_alns,3,1374.135819,3,1239.504976,True,0,27.545679
R205,nearest_neighbor+basic_alns,4,1535.343400,3,1201.043223,True,0,15.333361
R205,regret_insertion+basic_alns,5,2708.774554,3,1253.327581,True,0,24.128904
R206,greedy_insertion+basic_alns,3,1413.989145,3,1054.178448,True,0,28.515031
R206,nearest_neighbor+basic_alns,3,1354.140506,3,1130.647318,True,0,15.386498
R206,regret_insertion+basic_alns,4,2251.393682,3,1170.785900,True,0,24.757479
R207,greedy_insertion+basic_alns,3,1292.631274,3,963.277667,True,0,29.885577
R207,nearest_neighbor+basic_alns,3,1346.417314,3,1007.857833,True,0,15.560645
R207,regret_insertion+basic_alns,3,1839.811200,3,978.716263,True,0,25.130175
R208,greedy_insertion+basic_alns,3,1108.453356,3,794.135388,True,0,31.197185
R208,nearest_neighbor+basic_alns,3,1134.442514,3,844.911555,True,0,17.089675
R208,regret_insertion+basic_alns,3,1623.173282,3,982.345754,True,0,25.862438
R209,greedy_insertion+basic_alns,3,1384.763681,3,1072.693215,True,0,28.432494
R209,nearest_neighbor+basic_alns,4,1383.490095,3,1109.780341,True,0,15.370244
R209,regret_insertion+basic_alns,4,2222.574052,3,1108.313897,True,0,24.405611
R210,greedy_insertion+basic_alns,3,1421.496143,3,1152.353239,True,0,28.656827
R210,nearest_neighbor+basic_alns,4,1172.056722,3,1207.252312,True,0,17.065876
R210,regret_insertion+basic_alns,4,2802.242540,3,1166.053025,True,0,23.768244
R211,greedy_insertion+basic_alns,3,1292.848628,3,915.262545,True,0,28.624194
R211,nearest_neighbor+basic_alns,3,1149.371152,3,874.394291,True,0,15.855827
R211,regret_insertion+basic_alns,4,2096.946362,3,994.491511,True,0,25.392374
RC101,greedy_insertion+basic_alns,18,2332.412676,16,1854.520347,True,0,20.446158
RC101,nearest_neighbor+basic_alns,18,2172.812473,16,1781.497852,True,0,15.398962
RC101,regret_insertion+basic_alns,22,2868.618614,16,1734.040286,True,0,20.879230
RC102,greedy_insertion+basic_alns,17,2270.359671,16,1722.969753,True,0,20.875319
RC102,nearest_neighbor+basic_alns,16,1979.590261,15,1587.032715,True,0,15.486936
RC102,regret_insertion+basic_alns,17,2654.314879,15,1673.452365,True,0,20.674386
RC103,greedy_insertion+basic_alns,14,2004.112658,13,1490.086328,True,0,21.067504
RC103,nearest_neighbor+basic_alns,14,1889.550403,13,1384.495208,True,0,15.550575
RC103,regret_insertion+basic_alns,18,3114.422605,13,1418.267787,True,0,20.166955
RC104,greedy_insertion+basic_alns,13,1711.234097,11,1293.471809,True,0,21.321359
RC104,nearest_neighbor+basic_alns,12,1506.898152,11,1396.455178,True,0,15.301355
RC104,regret_insertion+basic_alns,21,3831.500789,11,1432.484782,True,0,19.870502
RC105,greedy_insertion+basic_alns,18,2354.596514,15,1732.946151,True,0,20.736293
RC105,nearest_neighbor+basic_alns,18,2187.601763,15,1672.031451,True,0,15.417272
RC105,regret_insertion+basic_alns,20,3023.827045,16,1693.224594,True,0,20.757310
RC106,greedy_insertion+basic_alns,16,2134.704888,14,1582.795036,True,0,20.677306
RC106,nearest_neighbor+basic_alns,15,1877.657623,14,1497.406916,True,0,15.479786
RC106,regret_insertion+basic_alns,22,3572.932468,14,1672.176164,True,0,19.914838
RC107,greedy_insertion+basic_alns,14,1773.770527,13,1357.902112,True,0,20.821474
RC107,nearest_neighbor+basic_alns,13,1675.973412,13,1435.573874,True,0,15.402199
RC107,regret_insertion+basic_alns,21,3643.257246,13,1407.783760,True,0,20.286892
RC108,greedy_insertion+basic_alns,13,1735.109771,12,1238.357906,True,0,21.070804
RC108,nearest_neighbor+basic_alns,13,1567.910844,12,1317.783591,True,0,15.702843
RC108,regret_insertion+basic_alns,22,4042.071359,12,1431.674077,True,0,19.846562
RC201,greedy_insertion+basic_alns,5,2181.225772,4,1635.560308,True,0,26.572053
RC201,nearest_neighbor+basic_alns,5,2056.871335,5,1602.524962,True,0,15.935244
RC201,regret_insertion+basic_alns,7,4036.745802,5,1685.957852,True,0,23.010883
RC202,greedy_insertion+basic_alns,5,2030.006042,4,1526.395725,True,0,26.546047
RC202,nearest_neighbor+basic_alns,5,1811.595333,4,1423.542502,True,0,15.508414
RC202,regret_insertion+basic_alns,6,3796.359116,4,1538.594344,True,0,22.561597
RC203,greedy_insertion+basic_alns,4,1804.899910,3,1327.639761,True,0,27.219217
RC203,nearest_neighbor+basic_alns,3,1666.758407,3,1222.796557,True,0,15.310707
RC203,regret_insertion+basic_alns,5,3071.976391,3,1253.478560,True,0,23.038383
RC204,greedy_insertion+basic_alns,3,1243.260961,3,949.638073,True,0,27.819207
RC204,nearest_neighbor+basic_alns,3,1102.980172,3,1063.747482,True,0,15.592956
RC204,regret_insertion+basic_alns,4,2490.187748,3,1037.721082,True,0,23.574566
RC205,greedy_insertion+basic_alns,5,2159.620220,4,1469.306425,True,0,25.722091
RC205,nearest_neighbor+basic_alns,5,1756.469308,4,1529.301786,True,0,15.505408
RC205,regret_insertion+basic_alns,6,3609.030301,5,1484.164114,True,0,23.409644
RC206,greedy_insertion+basic_alns,4,1923.084254,4,1229.971291,True,0,26.647006
RC206,nearest_neighbor+basic_alns,4,1809.239777,4,1385.835073,True,0,15.679593
RC206,regret_insertion+basic_alns,5,3387.562379,4,1350.326265,True,0,23.567260
RC207,greedy_insertion+basic_alns,4,1876.854240,4,1243.612887,True,0,27.535182
RC207,nearest_neighbor+basic_alns,4,1723.738932,4,1397.069865,True,0,15.554121
RC207,regret_insertion+basic_alns,5,3024.260928,4,1183.193092,True,0,23.826593
RC208,greedy_insertion+basic_alns,3,1390.439219,3,985.186935,True,0,27.746683
RC208,nearest_neighbor+basic_alns,3,1372.707712,3,1124.294096,True,0,15.396314
RC208,regret_insertion+basic_alns,5,2893.838484,3,1238.166621,True,0,23.501255
