dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lc204,greedy_pair_insertion+pair_alns,3,869.273736,3,741.460947,True,0,27.405061,51,42,42,3,590.60,0,25.543675,True,SINTEF PDPTW 100 tasks
lc205,greedy_pair_insertion,4,1157.749774,4,1157.749774,True,0,3.760067,51,,,3,588.88,1,96.601986,False,SINTEF PDPTW 100 tasks
lc205,greedy_pair_insertion+ordinary_alns,4,1157.749774,4,1157.749774,True,0,24.925722,51,42,42,3,588.88,1,96.601986,False,SINTEF PDPTW 100 tasks
lc205,greedy_pair_insertion+pair_alns,4,1157.749774,3,593.118603,True,0,24.743276,51,42,42,3,588.88,0,0.719774,True,SINTEF PDPTW 100 tasks
lc206,greedy_pair_insertion,4,817.262604,4,817.262604,True,0,6.918103,51,,,3,588.49,1,38.874510,False,SINTEF PDPTW 100 tasks
lc206,greedy_pair_insertion+ordinary_alns,4,817.262604,3,594.273490,True,0,23.404513,51,42,42,3,588.49,0,0.982768,True,SINTEF PDPTW 100 tasks
lc206,greedy_pair_insertion+pair_alns,4,817.262604,3,595.851963,True,0,27.337794,51,42,42,3,588.49,0,1.250992,True,SINTEF PDPTW 100 tasks
lc207,greedy_pair_insertion,4,706.601147,3,600.705642,True,0,6.938395,51,,,3,588.29,0,2.110463,True,SINTEF PDPTW 100 tasks
lc207,greedy_pair_insertion+ordinary_alns,3,600.705642,3,600.705642,True,0,27.164258,51,42,42,3,588.29,0,2.110463,True,SINTEF PDPTW 100 tasks
lc207,greedy_pair_insertion+pair_alns,3,600.705642,3,597.790452,True,0,27.276594,51,42,42,3,588.29,0,1.614927,True,SINTEF PDPTW 100 tasks
lc208,greedy_pair_insertion,4,1232.423619,4,1232.423619,True,0,4.871543,51,,,3,588.32,1,109.481850,False,SINTEF PDPTW 100 tasks
lc208,greedy_pair_insertion+ordinary_alns,4,1232.423619,4,1232.423619,True,0,26.270212,51,42,42,3,588.32,1,109.481850,False,SINTEF PDPTW 100 tasks
lc208,greedy_pair_insertion+pair_alns,4,1232.423619,3,939.576262,True,0,25.872813,51,42,42,3,588.32,0,59.704967,True,SINTEF PDPTW 100 tasks
lr101,greedy_pair_insertion,22,1845.444405,20,1760.944276,True,0,0.502308,53,,,19,1650.80,1,6.672176,False,SINTEF PDPTW 100 tasks
lr101,greedy_pair_insertion+ordinary_alns,20,1760.944276,20,1760.944276,True,0,12.589679,53,42,42,19,1650.80,1,6.672176,False,SINTEF PDPTW 100 tasks
lr101,greedy_pair_insertion+pair_alns,20,1760.944276,19,1671.576490,True,0,14.158558,53,42,42,19,1650.80,0,1.258571,True,SINTEF PDPTW 100 tasks
lr102,greedy_pair_insertion,19,1696.261526,17,1617.903008,True,0,0.857792,55,,,17,1487.57,0,8.761471,True,SINTEF PDPTW 100 tasks
lr102,greedy_pair_insertion+ordinary_alns,17,1617.903008,17,1617.903008,True,0,13.822581,55,42,42,17,1487.57,0,8.761471,True,SINTEF PDPTW 100 tasks
lr102,greedy_pair_insertion+pair_alns,17,1617.903008,17,1552.659824,True,0,19.491738,55,42,42,17,1487.57,0,4.375581,True,SINTEF PDPTW 100 tasks
lr103,greedy_pair_insertion,17,1676.041090,16,1633.778603,True,0,0.824039,52,,,13,1292.68,3,26.386933,False,SINTEF PDPTW 100 tasks
lr103,greedy_pair_insertion+ordinary_alns,16,1633.778603,16,1633.778603,True,0,12.270759,52,42,42,13,1292.68,3,26.386933,False,SINTEF PDPTW 100 tasks
lr103,greedy_pair_insertion+pair_alns,16,1633.778603,13,1325.584714,True,0,21.123253,52,42,42,13,1292.68,0,2.545465,True,SINTEF PDPTW 100 tasks
lr104,greedy_pair_insertion,13,1364.844170,12,1319.522813,True,0,1.549506,52,,,9,1013.39,3,30.208786,False,SINTEF PDPTW 100 tasks
lr104,greedy_pair_insertion+ordinary_alns,12,1319.522813,12,1319.522813,True,0,16.244612,52,42,42,9,1013.39,3,30.208786,False,SINTEF PDPTW 100 tasks
lr104,greedy_pair_insertion+pair_alns,12,1319.522813,11,1113.004475,True,0,22.036492,52,42,42,9,1013.39,2,9.829826,False,SINTEF PDPTW 100 tasks
lr105,greedy_pair_insertion,19,1648.647046,15,1421.457872,True,0,0.740267,53,,,14,1377.11,1,3.220358,False,SINTEF PDPTW 100 tasks
lr105,greedy_pair_insertion+ordinary_alns,15,1421.457872,15,1421.457872,True,0,11.206990,53,42,42,14,1377.11,1,3.220358,False,SINTEF PDPTW 100 tasks
lr105,greedy_pair_insertion+pair_alns,15,1421.457872,14,1390.554693,True,0,17.920429,53,42,42,14,1377.11,0,0.976298,True,SINTEF PDPTW 100 tasks
lr106,greedy_pair_insertion,15,1529.470632,14,1489.367997,True,0,0.784889,52,,,12,1252.62,2,18.900225,False,SINTEF PDPTW 100 tasks
lr106,greedy_pair_insertion+ordinary_alns,14,1489.367997,14,1489.367997,True,0,12.631516,52,42,42,12,1252.62,2,18.900225,False,SINTEF PDPTW 100 tasks
lr106,greedy_pair_insertion+pair_alns,14,1489.367997,12,1282.144971,True,0,21.103950,52,42,42,12,1252.62,0,2.357057,True,SINTEF PDPTW 100 tasks
lr107,greedy_pair_insertion,15,1458.926924,12,1237.211493,True,0,1.011897,52,,,10,1111.31,2,11.329106,False,SINTEF PDPTW 100 tasks
lr107,greedy_pair_insertion+ordinary_alns,12,1237.211493,12,1237.211493,True,0,13.774141,52,42,42,10,1111.31,2,11.329106,False,SINTEF PDPTW 100 tasks
lr107,greedy_pair_insertion+pair_alns,12,1237.211493,11,1150.881015,True,0,21.231642,52,42,42,10,1111.31,1,3.560754,False,SINTEF PDPTW 100 tasks
