dataset,method,time_limit,status,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
RC106,ortools_routing,30,1,14,1428.994200,True,0,30.002187,11,1424.73,3,0.299299,False,SINTEF VRPTW 100 customers
RC107,ortools_routing,30,1,12,1347.567935,True,0,30.012446,11,1230.48,1,9.515631,False,SINTEF VRPTW 100 customers
RC108,ortools_routing,30,1,12,1210.171260,True,0,30.002210,10,1139.82,2,6.172138,False,SINTEF VRPTW 100 customers
RC201,ortools_routing,30,1,4,1551.932686,True,0,30.001935,4,1406.94,0,10.305534,True,SINTEF VRPTW 100 customers
RC202,ortools_routing,30,1,4,1303.258860,True,0,30.002541,3,1365.65,1,-4.568604,False,SINTEF VRPTW 100 customers
RC203,ortools_routing,30,1,4,989.335738,True,0,30.002489,3,1049.62,1,-5.743437,False,SINTEF VRPTW 100 customers
RC204,ortools_routing,30,1,3,835.514252,True,0,30.001839,3,798.46,0,4.640715,True,SINTEF VRPTW 100 customers
RC205,ortools_routing,30,1,5,1397.004584,True,0,30.005147,4,1297.65,1,7.656501,False,SINTEF VRPTW 100 customers
RC206,ortools_routing,30,1,4,1114.795251,True,0,30.002468,3,1146.32,1,-2.750083,False,SINTEF VRPTW 100 customers
RC207,ortools_routing,30,1,4,1073.703183,True,0,30.003106,3,1061.14,1,1.183933,False,SINTEF VRPTW 100 customers
RC208,ortools_routing,30,1,3,884.535562,True,0,30.001981,3,828.14,0,6.809907,True,SINTEF VRPTW 100 customers
