dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime
C106,regret_insertion,fast_repair_merge_elim,11,1593.740657,True,0,0.316327
C106,regret_insertion,full_ftv,11,1370.171116,True,0,0.316327
C107,greedy_insertion,fast_only,11,1247.360024,True,0,0.316522
C107,greedy_insertion,fast_repair,11,1247.360024,True,0,0.316522
C107,greedy_insertion,fast_repair_merge,11,1247.360024,True,0,0.316522
C107,greedy_insertion,fast_repair_merge_elim,11,1247.360024,True,0,0.316522
C107,greedy_insertion,full_ftv,11,1012.881380,True,0,0.316522
C107,nearest_neighbor,fast_only,18,2131.536781,True,0,0.014384
C107,nearest_neighbor,fast_repair,18,2131.536781,True,0,0.014384
C107,nearest_neighbor,fast_repair_merge,15,2100.876660,True,0,0.014384
C107,nearest_neighbor,fast_repair_merge_elim,12,1839.915144,True,0,0.014384
C107,nearest_neighbor,full_ftv,12,1441.927019,True,0,0.014384
C107,regret_insertion,fast_only,13,1947.807614,True,0,0.328796
C107,regret_insertion,fast_repair,13,1947.807614,True,0,0.328796
C107,regret_insertion,fast_repair_merge,13,1947.807614,True,0,0.328796
C107,regret_insertion,fast_repair_merge_elim,12,1892.708999,True,0,0.328796
C107,regret_insertion,full_ftv,12,1655.453312,True,0,0.328796
C108,greedy_insertion,fast_only,11,1269.958648,True,0,0.331742
C108,greedy_insertion,fast_repair,11,1269.958648,True,0,0.331742
C108,greedy_insertion,fast_repair_merge,11,1269.958648,True,0,0.331742
C108,greedy_insertion,fast_repair_merge_elim,11,1269.958648,True,0,0.331742
C108,greedy_insertion,full_ftv,11,1034.940516,True,0,0.331742
C108,nearest_neighbor,fast_only,17,2103.407427,True,0,0.013809
C108,nearest_neighbor,fast_repair,17,2103.407427,True,0,0.013809
C108,nearest_neighbor,fast_repair_merge,15,2124.047439,True,0,0.013809
C108,nearest_neighbor,fast_repair_merge_elim,11,1841.192442,True,0,0.013809
C108,nearest_neighbor,full_ftv,11,1554.592767,True,0,0.013809
C108,regret_insertion,fast_only,14,3318.987632,True,0,0.354604
C108,regret_insertion,fast_repair,14,3318.987632,True,0,0.354604
C108,regret_insertion,fast_repair_merge,14,3318.987632,True,0,0.354604
C108,regret_insertion,fast_repair_merge_elim,13,3099.084216,True,0,0.354604
C108,regret_insertion,full_ftv,13,2103.383885,True,0,0.354604
C109,greedy_insertion,fast_only,10,1126.125424,True,0,0.388216
C109,greedy_insertion,fast_repair,10,1126.125424,True,0,0.388216
C109,greedy_insertion,fast_repair_merge,10,1126.125424,True,0,0.388216
C109,greedy_insertion,fast_repair_merge_elim,10,1126.125424,True,0,0.388216
C109,greedy_insertion,full_ftv,10,976.713361,True,0,0.388216
C109,nearest_neighbor,fast_only,14,1788.553875,True,0,0.007062
