dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool
lr203,greedy_pair_insertion,4,1343.344368,4,1343.344368,True,0,7.294232,51,,
lr203,greedy_pair_insertion+pair_alns,4,1343.344368,3,1433.900185,True,0,78.638422,51,42,"42,11,23"
lr204,greedy_pair_insertion,4,1338.402688,3,1327.284233,True,0,13.977201,50,,
lr204,greedy_pair_insertion+pair_alns,3,1327.284233,3,1164.856544,True,0,83.336524,50,11,"42,11,23"
lr205,greedy_pair_insertion,4,1811.127458,4,1811.127458,True,0,8.980729,51,,
lr205,greedy_pair_insertion+pair_alns,4,1811.127458,4,1447.149430,True,0,73.622869,51,11,"42,11,23"
lr206,greedy_pair_insertion,4,1453.839351,4,1453.839351,True,0,6.099697,50,,
lr206,greedy_pair_insertion+pair_alns,4,1453.839351,3,1184.187243,True,0,73.023952,50,42,"42,11,23"
lr207,greedy_pair_insertion,3,1414.197547,3,1414.197547,True,0,12.001791,51,,
lr207,greedy_pair_insertion+pair_alns,3,1414.197547,3,1121.141410,True,0,85.330464,51,23,"42,11,23"
lr208,greedy_pair_insertion,3,1123.196729,3,1123.196729,True,0,14.564137,50,,
lr208,greedy_pair_insertion+pair_alns,3,1123.196729,3,930.429876,True,0,95.594018,50,11,"42,11,23"
lr209,greedy_pair_insertion,4,1397.601968,4,1397.601968,True,0,10.479346,51,,
lr209,greedy_pair_insertion+pair_alns,4,1397.601968,4,1105.095992,True,0,78.483041,51,23,"42,11,23"
lr210,greedy_pair_insertion,4,1578.501825,4,1578.501825,True,0,7.402037,51,,
lr210,greedy_pair_insertion+pair_alns,4,1578.501825,4,1277.207986,True,0,73.198396,51,23,"42,11,23"
lr211,greedy_pair_insertion,3,1412.286683,3,1412.286683,True,0,12.554296,50,,
lr211,greedy_pair_insertion+pair_alns,3,1412.286683,3,1193.469904,True,0,81.455656,50,11,"42,11,23"
lrc101,greedy_pair_insertion,19,1988.293648,17,1902.834021,True,0,0.872394,53,,
lrc101,greedy_pair_insertion+pair_alns,17,1902.834021,14,1708.801332,True,0,61.284612,53,42,"42,11,23"
lrc102,greedy_pair_insertion,17,1919.022139,15,1757.624760,True,0,1.139650,53,,
lrc102,greedy_pair_insertion+pair_alns,15,1757.624760,14,1646.132943,True,0,62.174226,53,42,"42,11,23"
lrc103,greedy_pair_insertion,15,1641.425276,13,1539.918695,True,0,1.349714,53,,
lrc103,greedy_pair_insertion+pair_alns,13,1539.918695,11,1258.737118,True,0,62.763641,53,23,"42,11,23"
lrc104,greedy_pair_insertion,13,1470.892644,12,1407.606029,True,0,2.055924,54,,
lrc104,greedy_pair_insertion+pair_alns,12,1407.606029,10,1214.141242,True,0,63.407998,54,11,"42,11,23"
lrc105,greedy_pair_insertion,20,2240.901212,17,1990.088486,True,0,1.169329,54,,
lrc105,greedy_pair_insertion+pair_alns,17,1990.088486,14,1651.749427,True,0,62.305796,54,23,"42,11,23"
lrc106,greedy_pair_insertion,18,1990.937844,16,1876.730097,True,0,1.250227,53,,
lrc106,greedy_pair_insertion+pair_alns,16,1876.730097,13,1537.195658,True,0,62.828199,53,11,"42,11,23"
lrc107,greedy_pair_insertion,14,1719.127456,13,1652.400885,True,0,1.430745,53,,
lrc107,greedy_pair_insertion+pair_alns,13,1652.400885,11,1341.422354,True,0,63.187444,53,23,"42,11,23"
lrc108,greedy_pair_insertion,13,1424.292188,13,1424.292188,True,0,1.799363,52,,
lrc108,greedy_pair_insertion+pair_alns,13,1424.292188,11,1193.304585,True,0,63.364246,52,11,"42,11,23"
lrc201,greedy_pair_insertion,6,1785.039154,5,1741.711266,True,0,3.708618,51,,
lrc201,greedy_pair_insertion+pair_alns,5,1741.711266,5,1543.746582,True,0,67.415017,51,23,"42,11,23"
lrc202,greedy_pair_insertion,4,1818.010085,4,1818.010085,True,0,5.328079,51,,
lrc202,greedy_pair_insertion+pair_alns,4,1818.010085,4,1496.974352,True,0,67.807279,51,11,"42,11,23"
lrc203,greedy_pair_insertion,5,1794.097945,4,1611.501656,True,0,5.983512,51,,
lrc203,greedy_pair_insertion+pair_alns,4,1611.501656,4,1313.499449,True,0,71.473624,51,11,"42,11,23"
