dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lr102,greedy_pair_insertion+pair_alns,17,1617.903008,17,1552.659824,True,0,62.774533,55,42,"42,11,23",17,1487.57,0,4.375581,True,SINTEF PDPTW 100 tasks
lr103,greedy_pair_insertion,17,1676.041090,16,1633.778603,True,0,1.172750,52,,,13,1292.68,3,26.386933,False,SINTEF PDPTW 100 tasks
lr103,greedy_pair_insertion+pair_alns,16,1633.778603,13,1325.584714,True,0,62.614833,52,42,"42,11,23",13,1292.68,0,2.545465,True,SINTEF PDPTW 100 tasks
lr104,greedy_pair_insertion,13,1364.844170,12,1319.522813,True,0,1.990448,52,,,9,1013.39,3,30.208786,False,SINTEF PDPTW 100 tasks
lr104,greedy_pair_insertion+pair_alns,12,1319.522813,9,1017.125133,True,0,64.104786,52,23,"42,11,23",9,1013.39,0,0.368578,True,SINTEF PDPTW 100 tasks
lr105,greedy_pair_insertion,19,1648.647046,15,1421.457872,True,0,1.044028,53,,,14,1377.11,1,3.220358,False,SINTEF PDPTW 100 tasks
lr105,greedy_pair_insertion+pair_alns,15,1421.457872,14,1390.554693,True,0,62.084211,53,42,"42,11,23",14,1377.11,0,0.976298,True,SINTEF PDPTW 100 tasks
lr106,greedy_pair_insertion,15,1529.470632,14,1489.367997,True,0,1.050483,52,,,12,1252.62,2,18.900225,False,SINTEF PDPTW 100 tasks
lr106,greedy_pair_insertion+pair_alns,14,1489.367997,12,1252.616654,True,0,62.800574,52,23,"42,11,23",12,1252.62,0,-0.000267,True,SINTEF PDPTW 100 tasks
lr107,greedy_pair_insertion,15,1458.926924,12,1237.211493,True,0,1.335800,52,,,10,1111.31,2,11.329106,False,SINTEF PDPTW 100 tasks
lr107,greedy_pair_insertion+pair_alns,12,1237.211493,10,1111.313176,True,0,62.430792,52,23,"42,11,23",10,1111.31,0,0.000286,True,SINTEF PDPTW 100 tasks
lr108,greedy_pair_insertion,13,1289.404462,11,1169.010120,True,0,1.637842,50,,,9,968.97,2,20.644614,False,SINTEF PDPTW 100 tasks
lr108,greedy_pair_insertion+pair_alns,11,1169.010120,9,968.966019,True,0,62.848544,50,11,"42,11,23",9,968.97,0,-0.000411,True,SINTEF PDPTW 100 tasks
lr109,greedy_pair_insertion,16,1550.217492,14,1411.682642,True,0,1.346180,53,,,11,1208.96,3,16.768350,False,SINTEF PDPTW 100 tasks
lr109,greedy_pair_insertion+pair_alns,14,1411.682642,12,1269.908518,True,0,62.879541,53,11,"42,11,23",11,1208.96,1,5.041401,False,SINTEF PDPTW 100 tasks
lr110,greedy_pair_insertion,15,1502.092350,14,1424.959130,True,0,1.255689,52,,,10,1159.35,4,22.910176,False,SINTEF PDPTW 100 tasks
lr110,greedy_pair_insertion+pair_alns,14,1424.959130,12,1225.839455,True,0,62.489055,52,42,"42,11,23",10,1159.35,2,5.735063,False,SINTEF PDPTW 100 tasks
lr111,greedy_pair_insertion,13,1374.708537,13,1374.708537,True,0,1.736611,54,,,10,1108.90,3,23.970470,False,SINTEF PDPTW 100 tasks
lr111,greedy_pair_insertion+pair_alns,13,1374.708537,11,1184.771247,True,0,63.278219,54,42,"42,11,23",10,1108.90,1,6.842028,False,SINTEF PDPTW 100 tasks
lr112,greedy_pair_insertion,13,1279.594251,12,1196.343390,True,0,2.079175,53,,,9,1003.77,3,19.185012,False,SINTEF PDPTW 100 tasks
lr112,greedy_pair_insertion+pair_alns,12,1196.343390,10,1070.879033,True,0,64.177566,53,11,"42,11,23",9,1003.77,1,6.685698,False,SINTEF PDPTW 100 tasks
lr201,greedy_pair_insertion,6,1550.797211,5,1578.539736,True,0,3.226858,51,,,4,1253.23,1,25.957704,False,SINTEF PDPTW 100 tasks
lr201,greedy_pair_insertion+pair_alns,5,1578.539736,5,1348.623043,True,0,66.883441,51,11,"42,11,23",4,1253.23,1,7.611775,False,SINTEF PDPTW 100 tasks
lr202,greedy_pair_insertion,5,1629.192599,5,1629.192599,True,0,4.756869,50,,,3,1197.67,2,36.030175,False,SINTEF PDPTW 100 tasks
lr202,greedy_pair_insertion+pair_alns,5,1629.192599,4,1559.911704,True,0,69.082579,50,11,"42,11,23",3,1197.67,1,30.245535,False,SINTEF PDPTW 100 tasks
lr203,greedy_pair_insertion,4,1343.344368,4,1343.344368,True,0,7.294232,51,,,3,949.40,1,41.494035,False,SINTEF PDPTW 100 tasks
lr203,greedy_pair_insertion+pair_alns,4,1343.344368,3,1433.900185,True,0,78.638422,51,42,"42,11,23",3,949.40,0,51.032250,True,SINTEF PDPTW 100 tasks
lr204,greedy_pair_insertion,4,1338.402688,3,1327.284233,True,0,13.977201,50,,,2,849.05,1,56.325803,False,SINTEF PDPTW 100 tasks
lr204,greedy_pair_insertion+pair_alns,3,1327.284233,3,1164.856544,True,0,83.336524,50,11,"42,11,23",2,849.05,1,37.195282,False,SINTEF PDPTW 100 tasks
lr205,greedy_pair_insertion,4,1811.127458,4,1811.127458,True,0,8.980729,51,,,3,1054.02,1,71.830464,False,SINTEF PDPTW 100 tasks
lr205,greedy_pair_insertion+pair_alns,4,1811.127458,4,1447.149430,True,0,73.622869,51,11,"42,11,23",3,1054.02,1,37.298100,False,SINTEF PDPTW 100 tasks
lr206,greedy_pair_insertion,4,1453.839351,4,1453.839351,True,0,6.099697,50,,,3,931.63,1,56.053299,False,SINTEF PDPTW 100 tasks
lr206,greedy_pair_insertion+pair_alns,4,1453.839351,3,1184.187243,True,0,73.023952,50,42,"42,11,23",3,931.63,0,27.109179,True,SINTEF PDPTW 100 tasks
lr207,greedy_pair_insertion,3,1414.197547,3,1414.197547,True,0,12.001791,51,,,2,903.06,1,56.600619,False,SINTEF PDPTW 100 tasks
lr207,greedy_pair_insertion+pair_alns,3,1414.197547,3,1121.141410,True,0,85.330464,51,23,"42,11,23",2,903.06,1,24.149161,False,SINTEF PDPTW 100 tasks
lr208,greedy_pair_insertion,3,1123.196729,3,1123.196729,True,0,14.564137,50,,,2,734.85,1,52.847075,False,SINTEF PDPTW 100 tasks
lr208,greedy_pair_insertion+pair_alns,3,1123.196729,3,930.429876,True,0,95.594018,50,11,"42,11,23",2,734.85,1,26.614939,False,SINTEF PDPTW 100 tasks
lr209,greedy_pair_insertion,4,1397.601968,4,1397.601968,True,0,10.479346,51,,,3,930.59,1,50.184503,False,SINTEF PDPTW 100 tasks
