dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C207,nearest_neighbor,8,1292.972529,4,927.261921,True,0,0.031568,3,588.29,1,57.619868,False,SINTEF VRPTW 100 customers
C207,regret_insertion,5,3085.365538,4,1809.174277,True,0,9.666051,3,588.29,1,207.531027,False,SINTEF VRPTW 100 customers
C208,greedy_insertion,4,1182.865631,4,907.206956,True,0,10.387366,3,588.32,1,54.202977,False,SINTEF VRPTW 100 customers
C208,nearest_neighbor,6,1145.229342,3,974.179209,True,0,0.018135,3,588.32,0,65.586621,True,SINTEF VRPTW 100 customers
C208,regret_insertion,5,2226.949903,4,991.217556,True,0,9.924102,3,588.32,1,68.482723,False,SINTEF VRPTW 100 customers
R101,greedy_insertion,23,2337.631365,22,1917.746216,True,0,5.007621,19,1650.80,3,16.170718,False,SINTEF VRPTW 100 customers
R101,nearest_neighbor,37,2623.244874,22,1949.386270,True,0,0.065074,19,1650.80,3,18.087368,False,SINTEF VRPTW 100 customers
R101,regret_insertion,25,2637.832196,23,2145.301721,True,0,4.763759,19,1650.80,4,29.955278,False,SINTEF VRPTW 100 customers
R102,greedy_insertion,19,2094.211757,19,1774.137011,True,0,5.480860,17,1486.12,2,19.380468,False,SINTEF VRPTW 100 customers
R102,nearest_neighbor,34,2442.783334,19,1713.129531,True,0,0.046059,17,1486.12,2,15.275316,False,SINTEF VRPTW 100 customers
R102,regret_insertion,24,2794.705956,21,2002.578756,True,0,4.750735,17,1486.12,4,34.752157,False,SINTEF VRPTW 100 customers
R103,greedy_insertion,18,1971.499741,15,1455.739045,True,0,5.790233,13,1292.68,2,12.614030,False,SINTEF VRPTW 100 customers
R103,nearest_neighbor,25,1972.041564,15,1609.009570,True,0,0.054439,13,1292.68,2,24.470833,False,SINTEF VRPTW 100 customers
