dataset,method,config,seed,selected_seed,seed_pool,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1413.989145,3,1003.056085,True,0,76.022702,3,906.14,0,10.695487,True,SINTEF VRPTW 100 customers
R207,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1292.631274,3,882.501318,True,0,76.249093,2,890.61,1,-0.910464,False,SINTEF VRPTW 100 customers
R208,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1108.453356,2,779.606049,True,0,76.775424,2,726.82,0,7.262603,True,SINTEF VRPTW 100 customers
R209,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1384.763681,3,948.501903,True,0,75.971531,3,909.16,0,4.327280,True,SINTEF VRPTW 100 customers
R210,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1421.496143,3,1031.248060,True,0,75.818898,3,939.37,0,9.780817,True,SINTEF VRPTW 100 customers
R211,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1292.848628,3,845.126803,True,0,76.460476,2,885.71,1,-4.581996,False,SINTEF VRPTW 100 customers
RC101,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",18,2332.412676,15,1689.885807,True,0,75.672519,14,1696.95,1,-0.416288,False,SINTEF VRPTW 100 customers
RC102,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",17,2270.359671,14,1527.086376,True,0,75.731327,12,1554.75,2,-1.779297,False,SINTEF VRPTW 100 customers
RC103,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",14,2004.112658,12,1335.219989,True,0,75.685065,11,1261.67,1,5.829574,False,SINTEF VRPTW 100 customers
RC104,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",13,1711.234097,10,1146.250268,True,0,75.824753,10,1135.48,0,0.948521,True,SINTEF VRPTW 100 customers
RC105,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",18,2354.596514,14,1597.258102,True,0,75.636830,13,1629.44,1,-1.975028,False,SINTEF VRPTW 100 customers
RC106,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",16,2134.704888,13,1483.497075,True,0,75.895095,11,1424.73,2,4.124787,False,SINTEF VRPTW 100 customers
RC107,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",14,1773.770527,12,1326.206687,True,0,75.664668,11,1230.48,1,7.779622,False,SINTEF VRPTW 100 customers
RC108,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",13,1747.159868,11,1201.783106,True,0,75.762219,10,1139.82,1,5.436219,False,SINTEF VRPTW 100 customers
RC201,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",5,2181.225772,4,1522.245076,True,0,75.570152,4,1406.94,0,8.195451,True,SINTEF VRPTW 100 customers
RC202,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",5,2030.006042,4,1281.175328,True,0,75.870871,3,1365.65,1,-6.185675,False,SINTEF VRPTW 100 customers
RC203,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1702.631334,3,1078.821424,True,0,75.947015,3,1049.62,0,2.782095,True,SINTEF VRPTW 100 customers
RC204,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1243.260961,3,892.884375,True,0,76.459581,3,798.46,0,11.825812,True,SINTEF VRPTW 100 customers
RC205,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",5,2159.620220,4,1385.696469,True,0,75.662757,4,1297.65,0,6.785071,True,SINTEF VRPTW 100 customers
RC206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1923.084254,4,1147.650449,True,0,75.815121,3,1146.32,1,0.116063,False,SINTEF VRPTW 100 customers
RC207,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",4,1876.854240,4,1051.962109,True,0,75.891337,3,1061.14,1,-0.864909,False,SINTEF VRPTW 100 customers
RC208,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1390.439219,3,881.120622,True,0,76.350974,3,828.14,0,6.397544,True,SINTEF VRPTW 100 customers
