dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime
R202,nearest_neighbor,14,1812.994209,7,1363.384441,True,0,0.023038
R202,greedy_insertion,5,1930.073961,5,1289.763222,True,0,12.313322
R202,regret_insertion,6,2800.262581,6,1420.761017,True,0,8.917111
