dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime
C104,nearest_neighbor,15,1702.625365,12,1432.275610,True,0,0.024205
C104,greedy_insertion,10,1232.050469,10,1071.704335,True,0,4.238539
C104,regret_insertion,11,2867.668637,10,2018.693061,True,0,3.902195
