dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lc206,greedy_pair_insertion,4,817.262604,4,817.262604,True,0,46.238782,51
lc206,greedy_pair_insertion+pair_alns,4,817.262604,3,612.715305,True,0,69.572637,51
