dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lr209,greedy_pair_insertion,4,1397.601968,4,1397.601968,True,0,42.551706,51
lr209,greedy_pair_insertion+pair_alns,4,1397.601968,4,1386.091866,True,0,70.965148,51
