dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lr107,greedy_pair_insertion,15,1458.926924,15,1458.926924,True,0,6.630827,52
lr107,greedy_pair_insertion+pair_alns,15,1458.926924,11,1167.455113,True,0,27.435539,52
