dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lrc103,greedy_pair_insertion,15,1641.425276,14,1635.216899,True,0,6.888509,53
lrc103,greedy_pair_insertion+pair_alns,14,1635.216899,13,1457.107687,True,0,27.209269,53
