dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lr204,greedy_pair_insertion,4,1338.402688,3,1327.284233,True,0,43.798717,50
lr204,greedy_pair_insertion+pair_alns,3,1327.284233,3,1281.115382,True,0,71.265233,50
