dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lc105,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,9.957748,53
lc105,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,31.346639,53
