dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lrc204,greedy_pair_insertion,4,1189.328948,4,1189.328948,True,0,30.903646,51
lrc204,greedy_pair_insertion+pair_alns,4,1189.328948,3,1513.637301,True,0,60.638870,51
