dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lr111,greedy_pair_insertion,13,1374.708537,13,1374.708537,True,0,8.367000,54
lr111,greedy_pair_insertion+pair_alns,13,1374.708537,13,1297.141170,True,0,28.756813,54
