dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs
lrc206,greedy_pair_insertion,5,1863.774934,5,1863.774934,True,0,28.172777,51
lrc206,greedy_pair_insertion+pair_alns,5,1863.774934,4,1882.183494,True,0,63.771025,51
